model,shape,fit_distance,term,modal,left_spread,right_spread,sigma
M2,T,DK,intercept,16.872960579870632,0.0,0.0,
M2,T,DK,CO,0.0030064283019293767,,,
M2,T,DK,NO2,-0.15037952691347192,,,
M2,T,DK,SO2,0.10795566680649626,,,
M2,T,DK,O3,0.05540426451749048,,,
M2,T,DK,PM2.5,0.7538768382324527,,,
M2,T,DK,PM10,0.2503898646179316,,,
M2,T,YK,intercept,14.768401038951193,0.0,0.0,
M2,T,YK,CO,0.00734137994834405,,,
M2,T,YK,NO2,-0.13257781746430564,,,
M2,T,YK,SO2,0.13092321094498446,,,
M2,T,YK,O3,0.06572313830981197,,,
M2,T,YK,PM2.5,0.7057500475375673,,,
M2,T,YK,PM10,0.266083393464714,,,
M2,N,DK,intercept,17.005205759831135,,,0.0
M2,N,DK,CO,0.002090429955721596,,,
M2,N,DK,NO2,-0.1437328143012226,,,
M2,N,DK,SO2,0.10424157527973459,,,
M2,N,DK,O3,0.04542350211303992,,,
M2,N,DK,PM2.5,0.82336073684559,,,
M2,N,DK,PM10,0.24314853867668304,,,
M2,N,YK,intercept,15.13060361560159,,,0.0
M2,N,YK,CO,0.00736686893095939,,,
M2,N,YK,NO2,-0.13775104465368324,,,
M2,N,YK,SO2,0.13215191115020053,,,
M2,N,YK,O3,0.05463316329157224,,,
M2,N,YK,PM2.5,0.756881716861455,,,
M2,N,YK,PM10,0.26110721582708535,,,
M3,T,DK,intercept,8.951343536636655,5.198228473083148,6.015506945737364,
M3,T,DK,CO,0.011078399363266104,0.0,0.0,
M3,T,DK,NO2,0.016332966297166226,0.0,0.0,
M3,T,DK,SO2,0.18017760605126323,0.0,0.0,
M3,T,DK,O3,0.1303657378166296,0.03742348338552891,0.05364635851036541,
M3,T,DK,PM2.5,0.47731355527218905,0.0,0.0,
M3,T,DK,PM10,0.2976584903780721,0.0,0.0,
M3,T,YK,intercept,8.919575548996484,5.19822847308315,6.015506945737367,
M3,T,YK,CO,0.011544076651752586,0.0,0.0,
M3,T,YK,NO2,0.014140861048384022,0.0,0.0,
M3,T,YK,SO2,0.177791321469107,0.0,0.0,
M3,T,YK,O3,0.12801665161046344,0.03742348338552889,0.05364635851036537,
M3,T,YK,PM2.5,0.48440377340648216,0.0,0.0,
M3,T,YK,PM10,0.29793665846045403,0.0,0.0,
M3,N,DK,intercept,8.856039573716144,,,3.5059060889944464
M3,N,DK,CO,0.01247543122872554,,,0.0
M3,N,DK,NO2,0.009756650550819595,,,0.0
M3,N,DK,SO2,0.17301875230479455,,,0.0
M3,N,DK,O3,0.12331847919813115,,,0.034091242460598456
M3,N,DK,PM2.5,0.4985842096750685,,,0.0
M3,N,DK,PM10,0.2984929946252179,,,0.0
M3,N,YK,intercept,8.856039573716144,,,3.505906088994446
M3,N,YK,CO,0.012475431228725542,,,0.0
M3,N,YK,NO2,0.009756650550819534,,,0.0
M3,N,YK,SO2,0.17301875230479455,,,0.0
M3,N,YK,O3,0.12331847919813112,,,0.03409124246059846
M3,N,YK,PM2.5,0.49858420967506856,,,0.0
M3,N,YK,PM10,0.2984929946252179,,,0.0
